face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair
detected_faces/clip_342_frame_face0.png,White,White,Female,30-39,"[9.8415625e-01 1.8284730e-06 7.1047340e-03 6.2216981e-04 3.3483029e-04
 6.8844318e-05 7.7113565e-03]",[9.8485398e-01 1.3397972e-04 1.4915042e-02 9.7047341e-05],[3.7142814e-05 9.9996281e-01],"[5.79763821e-07 1.11193374e-04 7.15277204e-03 2.53715962e-01
 6.01807714e-01 1.32346407e-01 4.75692796e-03 1.06826861e-04
 1.60924367e-06]"
detected_faces/clip_391_frame_face2.png,White,White,Male,50-59,"[7.4947447e-01 4.0704679e-05 3.3563743e-03 1.8169098e-04 1.2313166e-04
 2.0289853e-04 2.4662071e-01]",[9.9933380e-01 1.8221629e-04 2.8151786e-04 2.0248147e-04],[9.9901843e-01 9.8152109e-04],"[1.8244808e-05 8.4422127e-06 7.9683130e-05 2.3822930e-04 5.2229590e-03
 9.4844967e-02 5.6246090e-01 3.2361180e-01 1.3514791e-02]"
detected_faces/clip_14_frame_face1.png,White,White,Female,30-39,"[9.8864841e-01 6.7074443e-06 8.8973006e-04 1.8324173e-04 1.7482140e-04
 6.7819434e-05 1.0029245e-02]",[9.9835670e-01 2.3401022e-04 1.0047911e-03 4.0451859e-04],[0.11705527 0.88294476],"[1.1671849e-06 1.2458417e-05 1.2968179e-03 8.8340163e-02 4.2578226e-01
 3.8739163e-01 9.4060384e-02 3.0544363e-03 6.0646267e-05]"
detected_faces/clip_30_frame_face0.png,White,White,Male,60-69,"[8.2612395e-01 8.5605716e-06 7.0809445e-04 1.4785095e-04 6.4321765e-05
 4.3252578e-05 1.7290401e-01]",[9.9903673e-01 2.2492743e-05 8.5475133e-04 8.5961881e-05],[9.9988759e-01 1.1244229e-04],"[5.6076846e-07 2.2950397e-07 3.4301754e-06 5.4241614e-06 2.4551242e-05
 5.7169871e-04 6.8957038e-02 7.0678359e-01 2.2365348e-01]"
detected_faces/clip_176_frame_face0.png,Black,Black,Female,40-49,"[9.3658036e-04 9.8195612e-01 1.2065985e-02 1.0823889e-03 2.8918462e-03
 1.7413289e-04 8.9293777e-04]",[1.8531985e-03 9.8247921e-01 1.5509431e-02 1.5810851e-04],[0.04639974 0.9536002 ],"[0.00258553 0.0716061  0.10469716 0.09654501 0.22681995 0.289748
 0.15458897 0.04833312 0.00507616]"
detected_faces/clip_296_frame_face0.png,Middle Eastern,White,Female,30-39,"[9.4825268e-02 2.7782435e-04 6.5353818e-02 1.1178669e-02 4.0074699e-03
 9.3595480e-04 8.2342100e-01]",[9.7965717e-01 2.6604938e-04 1.5003439e-02 5.0732964e-03],[2.256619e-05 9.999774e-01],"[1.9565879e-07 6.3009716e-06 1.1367473e-03 1.3395675e-01 5.9046942e-01
 2.6465800e-01 9.6123526e-03 1.5944941e-04 9.2040091e-07]"
detected_faces/clip_230_frame_face0.png,Black,Black,Female,20-29,"[1.9595870e-04 9.9355966e-01 2.3957209e-03 3.8153405e-05 1.3980223e-04
 3.5487197e-03 1.2201546e-04]",[6.0884457e-04 9.9827820e-01 2.4163117e-05 1.0888136e-03],[0.01649357 0.9835064 ],"[4.87120960e-05 1.22047365e-02 1.12657331e-01 6.29628420e-01
 2.17224404e-01 2.40657572e-02 3.49642569e-03 6.18482358e-04
 5.56784871e-05]"
detected_faces/clip_278_frame_face2.png,Black,Black,Male,30-39,"[1.1629325e-04 9.9724156e-01 1.5825776e-03 1.9493242e-05 1.0336664e-04
 7.4834854e-04 1.8841930e-04]",[5.6324498e-06 9.9989957e-01 5.8047204e-05 3.6789748e-05],[9.9950039e-01 4.9959676e-04],"[2.2990912e-06 1.4763386e-05 3.8699855e-03 3.2433453e-01 5.1429677e-01
 1.4966387e-01 7.5951093e-03 2.1063210e-04 1.2036375e-05]"
detected_faces/clip_796_frame_face3.png,White,White,Male,60-69,"[5.0771016e-01 1.3076314e-05 1.0537499e-03 4.0264247e-04 1.0291725e-04
 1.0633603e-03 4.8965409e-01]",[9.9624884e-01 3.5106765e-05 1.0161516e-03 2.6998466e-03],[0.9743548  0.02564517],"[6.5943397e-07 3.3832123e-07 1.7918702e-06 5.7982561e-06 2.8892635e-05
 8.2013471e-04 5.7555109e-02 6.0994899e-01 3.3163840e-01]"
detected_faces/clip_571_frame_face1.png,White,White,Male,30-39,"[9.9634248e-01 8.4685062e-06 4.5310913e-05 7.3375057e-09 5.0573057e-08
 2.2633607e-05 3.5810696e-03]",[9.9996215e-01 1.5856878e-05 3.7579187e-07 2.1555210e-05],[9.9999857e-01 1.4550161e-06],"[4.3725393e-07 4.6017058e-06 1.2897444e-04 5.4651145e-02 7.9809070e-01
 1.4494333e-01 2.1639240e-03 1.6014759e-05 9.3217966e-07]"
detected_faces/clip_555_frame_face0.png,East Asian,Asian,Female,20-29,"[2.1466608e-03 5.8177320e-05 2.3420421e-02 5.2568144e-01 4.4479036e-01
 3.4424381e-03 4.6053005e-04]",[0.02567067 0.00192918 0.9235399  0.0488603 ],[3.540315e-05 9.999646e-01],"[7.5626509e-08 2.9806062e-05 1.2386007e-02 5.6270826e-01 4.0818155e-01
 1.6511694e-02 1.7782552e-04 4.8981356e-06 3.6326746e-08]"
detected_faces/clip_498_frame_face1.png,East Asian,Asian,Male,20-29,"[0.01575079 0.00376808 0.02544138 0.76047564 0.18877238 0.00096222
 0.00482946]",[1.3334243e-02 1.2391889e-03 9.8464900e-01 7.7752484e-04],[0.9895971  0.01040292],"[3.2797012e-05 1.4416550e-03 1.0605118e-01 5.9311640e-01 2.4203794e-01
 5.2449021e-02 4.4859499e-03 3.7184730e-04 1.3243593e-05]"
detected_faces/clip_8_frame_face1.png,White,White,Male,40-49,"[9.84868348e-01 2.38193252e-06 1.06654211e-03 2.56001280e-04
 1.16580326e-04 5.83261408e-06 1.36843706e-02]",[9.9175072e-01 1.3341580e-06 8.2436651e-03 4.2847614e-06],[0.8048263  0.19517364],"[2.1543017e-05 3.2603712e-04 1.9994263e-02 1.2780534e-01 2.6878867e-01
 4.2756116e-01 1.3135028e-01 2.2018123e-02 2.1345629e-03]"
detected_faces/clip_403_frame_face1.png,White,White,Female,50-59,"[6.7400318e-01 1.2021841e-04 9.8881833e-03 1.8756990e-03 6.0419971e-04
 1.1998262e-04 3.1338853e-01]",[9.9734288e-01 1.9839645e-05 2.5834299e-03 5.3857621e-05],[0.00511671 0.99488324],"[1.4452618e-05 9.1629707e-05 1.3580249e-04 6.3539494e-04 1.4933816e-02
 1.5684766e-01 4.6795973e-01 3.3432263e-01 2.5058867e-02]"
detected_faces/clip_613_frame_face0.png,White,White,Male,20-29,"[7.99324930e-01 3.50244896e-04 7.35917613e-02 4.24995989e-04
 6.46429427e-04 4.94559668e-03 1.20715976e-01]",[0.99187976 0.00242961 0.00123634 0.00445427],[9.99989986e-01 1.00344805e-05],"[5.44720592e-07 2.24971198e-04 1.12646155e-01 8.02600741e-01
 8.22199360e-02 2.28745514e-03 2.00674658e-05 1.64487531e-07
 4.42984760e-09]"
detected_faces/clip_568_frame_face0.png,White,White,Male,30-39,"[8.9503944e-01 2.4389925e-03 6.2014565e-02 2.5238667e-04 6.8625767e-04
 1.8217422e-03 3.7746623e-02]",[9.8131031e-01 3.7205520e-03 2.7574084e-04 1.4693419e-02],[9.9983972e-01 1.6021969e-04],"[6.4377946e-07 8.9001032e-06 4.4139181e-03 2.5038129e-01 5.5734342e-01
 1.7926174e-01 8.3824731e-03 2.0133503e-04 6.1662213e-06]"
detected_faces/clip_688_frame_face0.png,Middle Eastern,Asian,Male,60-69,"[0.15548868 0.00472189 0.01556212 0.04579261 0.02672278 0.00516305
 0.74654883]",[0.15786462 0.05874726 0.7079474  0.07544076],[0.9955879  0.00441208],"[3.56116579e-05 1.06630134e-04 1.56495080e-03 4.12235409e-03
 1.72913484e-02 8.41526464e-02 3.66477191e-01 4.56065953e-01
 7.01832250e-02]"
detected_faces/clip_131_frame_face0.png,White,White,Male,30-39,"[9.6089417e-01 2.7824019e-05 4.8349414e-04 8.0854152e-05 6.9250549e-05
 9.2888644e-05 3.8351659e-02]",[9.9939644e-01 1.9306538e-04 3.7592041e-04 3.4495279e-05],[9.9995273e-01 4.7216807e-05],"[1.8544260e-05 4.4639575e-05 3.0491063e-03 1.2147505e-01 3.9661238e-01
 2.9261887e-01 1.6886930e-01 1.6321767e-02 9.9045585e-04]"
detected_faces/clip_77_frame_face0.png,White,White,Male,30-39,"[8.2579321e-01 4.0008803e-04 2.3365454e-03 2.9611433e-06 1.5562697e-05
 4.6271615e-04 1.7098883e-01]",[9.9519587e-01 6.1966415e-04 8.3908344e-05 4.1006058e-03],[9.9998909e-01 1.0844188e-05],"[4.5582755e-07 1.7931415e-06 2.3085441e-04 1.3095765e-01 7.4311453e-01
 1.2235785e-01 3.2375054e-03 9.5193893e-05 4.1122526e-06]"
detected_faces/clip_305_frame_face0.png,East Asian,Asian,Male,20-29,"[2.2271855e-04 4.9988789e-06 1.0499548e-04 9.6495557e-01 3.4673162e-02
 3.0863073e-05 7.6788083e-06]",[3.3010149e-04 9.1934571e-06 9.9965435e-01 6.3824355e-06],[0.68567526 0.31432474],"[1.6859600e-05 2.1444883e-03 2.0020194e-01 7.6557851e-01 3.1506062e-02
 5.4236100e-04 8.2578836e-06 1.4797799e-06 6.7229244e-08]"
detected_faces/clip_321_frame_face1.png,White,White,Female,20-29,"[9.9798071e-01 1.6849588e-08 3.1787593e-05 1.9393032e-05 1.0302293e-05
 3.9594929e-07 1.9573790e-03]",[9.8088670e-01 5.9855338e-06 1.9091062e-02 1.6252103e-05],[2.8104489e-05 9.9997193e-01],"[1.1146872e-06 1.1150620e-03 9.4151586e-02 7.2318345e-01 1.7012185e-01
 1.1227938e-02 1.9354296e-04 4.8913862e-06 4.9726589e-07]"
detected_faces/clip_144_frame_face2.png,Black,Black,Female,20-29,"[8.5507374e-04 9.8223478e-01 8.5537387e-03 1.0809916e-04 3.6129431e-04
 6.2862365e-03 1.6007238e-03]",[3.7794646e-03 9.9077094e-01 6.8222376e-04 4.7674016e-03],[0.00294877 0.9970512 ],"[1.5787002e-07 3.1272801e-05 1.3355021e-02 6.3819402e-01 3.3220810e-01
 1.5666442e-02 5.2752980e-04 1.6949925e-05 4.6682868e-07]"
detected_faces/clip_277_frame_face0.png,Middle Eastern,White,Male,10-19,"[1.5856078e-01 1.1729045e-05 5.1653843e-02 3.9930375e-05 7.7713121e-05
 9.3568827e-04 7.8872031e-01]",[9.9809903e-01 1.0229942e-05 5.0666591e-04 1.3840745e-03],[9.9999857e-01 1.4126696e-06],"[7.0782562e-07 1.2908422e-02 9.4680166e-01 3.9044399e-02 1.2097416e-03
 3.4876721e-05 7.4158194e-08 2.0052047e-09 2.8449708e-11]"
detected_faces/clip_197_frame_face0.png,White,White,Female,30-39,"[9.9751979e-01 4.4030892e-07 1.2088617e-04 1.3854700e-05 5.9760077e-06
 8.5213850e-07 2.3380949e-03]",[9.9745655e-01 4.0069575e-05 2.4947519e-03 8.5395723e-06],[6.5101194e-05 9.9993485e-01],"[6.2985471e-08 7.5856069e-06 1.9284459e-03 1.8020420e-01 6.3189626e-01
 1.7423570e-01 1.1381757e-02 3.2808052e-04 1.7917055e-05]"
detected_faces/clip_338_frame_face0.png,White,White,Female,30-39,"[9.9321389e-01 5.6259541e-06 4.6622367e-03 7.3528036e-06 2.0627649e-05
 5.0402770e-05 2.0397867e-03]",[9.9951982e-01 1.5629383e-04 2.2839241e-04 9.5513227e-05],[5.8853417e-05 9.9994111e-01],"[3.6161342e-07 4.8521921e-05 6.4002671e-03 2.2869639e-01 5.8370918e-01
 1.7124410e-01 9.6724471e-03 2.2425687e-04 4.5055631e-06]"
detected_faces/clip_512_frame_face0.png,White,White,Female,30-39,"[9.9973869e-01 2.6025572e-07 7.3820920e-05 4.9803939e-06 1.3713166e-06
 1.9240667e-06 1.7896868e-04]",[9.9976796e-01 4.6926598e-06 1.9315149e-04 3.4139626e-05],[2.0028197e-05 9.9997997e-01],"[1.9226654e-07 1.9633080e-05 2.7338201e-03 2.6732755e-01 5.0369859e-01
 2.0524569e-01 2.0578470e-02 3.8065240e-04 1.5474119e-05]"
detected_faces/clip_536_frame_face1.png,White,White,Male,10-19,"[9.9156618e-01 6.6509926e-09 8.7092376e-06 2.4202404e-06 5.9114774e-07
 7.4020426e-07 8.4213773e-03]",[9.9998492e-01 6.2813079e-08 4.5733400e-06 1.0453353e-05],[0.9968446 0.0031554],"[3.6739020e-05 5.6831375e-02 8.9090639e-01 4.5134440e-02 4.8450711e-03
 2.0648302e-03 1.7355321e-04 7.0142332e-06 5.8549324e-07]"
detected_faces/clip_669_frame_face0.png,White,White,Female,20-29,"[9.3998235e-01 7.6325022e-04 2.4549682e-02 4.6385117e-03 1.1644440e-03
 4.4100871e-04 2.8460709e-02]",[0.7168335  0.00583437 0.27559456 0.00173766],[0.00785053 0.9921495 ],"[1.1690356e-05 2.1937839e-03 2.5123119e-02 5.2068168e-01 4.0957335e-01
 4.0931951e-02 1.4627823e-03 2.0719606e-05 8.3636843e-07]"
detected_faces/clip_589_frame_face0.png,East Asian,Asian,Female,3-9,"[1.4887231e-04 9.1491191e-04 1.1812774e-03 8.6599684e-01 1.3134490e-01
 3.8169677e-04 3.1400552e-05]",[5.1124684e-05 1.7364997e-04 9.9976367e-01 1.1574593e-05],[0.04667915 0.95332086],"[0.01467625 0.30451414 0.26914686 0.18242037 0.14094171 0.05920933
 0.02008805 0.00785822 0.00114503]"
detected_faces/clip_809_frame_face0.png,White,White,Female,20-29,"[9.38752353e-01 1.25672495e-05 8.08896089e-04 1.89478073e-04
 5.42173184e-05 3.53606338e-05 6.01470657e-02]",[9.9884707e-01 1.5420757e-05 9.5135503e-04 1.8619456e-04],[0.01047927 0.9895207 ],"[1.0947938e-04 5.0531495e-02 3.0628040e-01 5.9698546e-01 4.4616673e-02
 1.4312658e-03 4.2404023e-05 2.3410846e-06 4.7192520e-07]"
detected_faces/clip_726_frame_face0.png,East Asian,White,Female,30-39,"[0.23601627 0.00124971 0.11377099 0.32060382 0.05429147 0.01241669
 0.2616511 ]",[0.89400756 0.00127167 0.10241102 0.00230969],[0.0022771 0.9977229],"[1.2955790e-06 4.2374228e-05 4.8972447e-03 2.1466400e-01 5.9260005e-01
 1.6742998e-01 1.9383226e-02 9.6799422e-04 1.3862759e-05]"
detected_faces/clip_654_frame_face0.png,Southeast Asian,Asian,Male,30-39,"[0.00495505 0.02440658 0.06272456 0.19258222 0.5507704  0.14457963
 0.01998165]",[0.00327143 0.01325836 0.961129   0.02234113],[0.9844668  0.01553317],"[3.33743196e-06 1.07362954e-04 1.27429785e-02 3.07611436e-01
 4.62077469e-01 1.79539129e-01 3.45465615e-02 3.09657166e-03
 2.75129365e-04]"
